runner,compiler,version,support
macos-13,gcc,12,
macos-13,gcc,13,
macos-13,gcc,14,
macos-13,intel-classic,2021.1.2,
macos-13,intel-classic,2021.1,
macos-13,intel-classic,2021.10,
macos-13,intel-classic,2021.11,
macos-13,intel-classic,2021.12,
macos-13,intel-classic,2021.2,
macos-13,intel-classic,2021.3,
macos-13,intel-classic,2021.4,
macos-13,intel-classic,2021.5,
macos-13,intel-classic,2021.6,
macos-13,intel-classic,2021.7.1,
macos-13,intel-classic,2021.7,
macos-13,intel-classic,2021.8,
macos-13,intel-classic,2021.9,
macos-13,lfortran,0.41.0,
macos-13,lfortran,0.42.0,
macos-13,lfortran,0.43.0,
macos-13,lfortran,0.44.0,
macos-13,lfortran,0.45.0,
macos-14,gcc,12,
macos-14,gcc,13,
macos-14,gcc,14,
macos-14,intel-classic,2021.1.2,
macos-14,intel-classic,2021.1,
macos-14,intel-classic,2021.10,
macos-14,intel-classic,2021.11,
macos-14,intel-classic,2021.12,
macos-14,intel-classic,2021.2,
macos-14,intel-classic,2021.3,
macos-14,intel-classic,2021.4,
macos-14,intel-classic,2021.5,
macos-14,intel-classic,2021.6,
macos-14,intel-classic,2021.7.1,
macos-14,intel-classic,2021.7,
macos-14,intel-classic,2021.8,
macos-14,intel-classic,2021.9,
macos-14,lfortran,0.41.0,
macos-14,lfortran,0.42.0,
macos-14,lfortran,0.43.0,
macos-14,lfortran,0.44.0,
macos-14,lfortran,0.45.0,
ubuntu-22.04,gcc,12,
ubuntu-22.04,gcc,13,
ubuntu-22.04,gcc,14,
ubuntu-22.04,intel-classic,2021.1.2,
ubuntu-22.04,intel-classic,2021.1,
ubuntu-22.04,intel-classic,2021.10,
ubuntu-22.04,intel-classic,2021.11,
ubuntu-22.04,intel-classic,2021.12,
ubuntu-22.04,intel-classic,2021.2,
ubuntu-22.04,intel-classic,2021.3,
ubuntu-22.04,intel-classic,2021.4,
ubuntu-22.04,intel-classic,2021.5,
ubuntu-22.04,intel-classic,2021.6,
ubuntu-22.04,intel-classic,2021.7.1,
ubuntu-22.04,intel-classic,2021.7,
ubuntu-22.04,intel-classic,2021.8,
ubuntu-22.04,intel-classic,2021.9,
ubuntu-22.04,intel,2021.1.2,
ubuntu-22.04,intel,2021.1,
ubuntu-22.04,intel,2021.2,
ubuntu-22.04,intel,2021.4,
ubuntu-22.04,intel,2022.0,
ubuntu-22.04,intel,2022.1,
ubuntu-22.04,intel,2022.2.1,
ubuntu-22.04,intel,2022.2,
ubuntu-22.04,intel,2023.0,
ubuntu-22.04,intel,2023.1,
ubuntu-22.04,intel,2023.2,
ubuntu-22.04,intel,2024.0,
ubuntu-22.04,intel,2024.1,
ubuntu-22.04,intel,2025.0,
ubuntu-22.04,lfortran,0.41.0,
ubuntu-22.04,lfortran,0.42.0,
ubuntu-22.04,lfortran,0.43.0,
ubuntu-22.04,lfortran,0.44.0,
ubuntu-22.04,lfortran,0.45.0,
ubuntu-22.04,nvidia-hpc,20.11,
ubuntu-22.04,nvidia-hpc,20.7,
ubuntu-22.04,nvidia-hpc,20.9,
ubuntu-22.04,nvidia-hpc,21.1,
ubuntu-22.04,nvidia-hpc,21.11,
ubuntu-22.04,nvidia-hpc,21.2,
ubuntu-22.04,nvidia-hpc,21.3,
ubuntu-22.04,nvidia-hpc,21.5,
ubuntu-22.04,nvidia-hpc,21.7,
ubuntu-22.04,nvidia-hpc,21.9,
ubuntu-22.04,nvidia-hpc,22.1,
ubuntu-22.04,nvidia-hpc,22.11,
ubuntu-22.04,nvidia-hpc,22.2,
ubuntu-22.04,nvidia-hpc,22.3,
ubuntu-22.04,nvidia-hpc,22.5,
ubuntu-22.04,nvidia-hpc,22.7,
ubuntu-22.04,nvidia-hpc,22.9,
ubuntu-22.04,nvidia-hpc,23.1,
ubuntu-22.04,nvidia-hpc,23.11,
ubuntu-22.04,nvidia-hpc,23.3,
ubuntu-22.04,nvidia-hpc,23.5,
ubuntu-22.04,nvidia-hpc,23.7,
ubuntu-22.04,nvidia-hpc,23.9,
ubuntu-22.04,nvidia-hpc,24.1,
ubuntu-22.04,nvidia-hpc,24.3,
ubuntu-22.04,nvidia-hpc,24.5,
ubuntu-22.04,nvidia-hpc,25.1,
ubuntu-24.04,gcc,12,
ubuntu-24.04,gcc,13,
ubuntu-24.04,gcc,14,
ubuntu-24.04,intel-classic,2021.1.2,
ubuntu-24.04,intel-classic,2021.1,
ubuntu-24.04,intel-classic,2021.10,
ubuntu-24.04,intel-classic,2021.11,
ubuntu-24.04,intel-classic,2021.12,
ubuntu-24.04,intel-classic,2021.2,
ubuntu-24.04,intel-classic,2021.3,
ubuntu-24.04,intel-classic,2021.4,
ubuntu-24.04,intel-classic,2021.5,
ubuntu-24.04,intel-classic,2021.6,
ubuntu-24.04,intel-classic,2021.7.1,
ubuntu-24.04,intel-classic,2021.7,
ubuntu-24.04,intel-classic,2021.8,
ubuntu-24.04,intel-classic,2021.9,
ubuntu-24.04,intel,2021.1.2,
ubuntu-24.04,intel,2021.1,
ubuntu-24.04,intel,2021.2,
ubuntu-24.04,intel,2021.4,
ubuntu-24.04,intel,2022.0,
ubuntu-24.04,intel,2022.1,
ubuntu-24.04,intel,2022.2.1,
ubuntu-24.04,intel,2022.2,
ubuntu-24.04,intel,2023.0,
ubuntu-24.04,intel,2023.1,
ubuntu-24.04,intel,2023.2,
ubuntu-24.04,intel,2024.0,
ubuntu-24.04,intel,2024.1,
ubuntu-24.04,intel,2025.0,
ubuntu-24.04,lfortran,0.41.0,
ubuntu-24.04,lfortran,0.42.0,
ubuntu-24.04,lfortran,0.43.0,
ubuntu-24.04,lfortran,0.44.0,
ubuntu-24.04,lfortran,0.45.0,
ubuntu-24.04,nvidia-hpc,20.11,
ubuntu-24.04,nvidia-hpc,20.7,
ubuntu-24.04,nvidia-hpc,20.9,
ubuntu-24.04,nvidia-hpc,21.1,
ubuntu-24.04,nvidia-hpc,21.11,
ubuntu-24.04,nvidia-hpc,21.2,
ubuntu-24.04,nvidia-hpc,21.3,
ubuntu-24.04,nvidia-hpc,21.5,
ubuntu-24.04,nvidia-hpc,21.7,
ubuntu-24.04,nvidia-hpc,21.9,
ubuntu-24.04,nvidia-hpc,22.1,
ubuntu-24.04,nvidia-hpc,22.11,
ubuntu-24.04,nvidia-hpc,22.2,
ubuntu-24.04,nvidia-hpc,22.3,
ubuntu-24.04,nvidia-hpc,22.5,
ubuntu-24.04,nvidia-hpc,22.7,
ubuntu-24.04,nvidia-hpc,22.9,
ubuntu-24.04,nvidia-hpc,23.1,
ubuntu-24.04,nvidia-hpc,23.11,
ubuntu-24.04,nvidia-hpc,23.3,
ubuntu-24.04,nvidia-hpc,23.5,
ubuntu-24.04,nvidia-hpc,23.7,
ubuntu-24.04,nvidia-hpc,23.9,
ubuntu-24.04,nvidia-hpc,24.1,
ubuntu-24.04,nvidia-hpc,24.3,
ubuntu-24.04,nvidia-hpc,24.5,
ubuntu-24.04,nvidia-hpc,25.1,
windows-2022,gcc,12,
windows-2022,gcc,13,
windows-2022,gcc,14,
windows-2022,intel-classic,2021.1.2,
windows-2022,intel-classic,2021.1,
windows-2022,intel-classic,2021.10,
windows-2022,intel-classic,2021.11,
windows-2022,intel-classic,2021.12,
windows-2022,intel-classic,2021.2,
windows-2022,intel-classic,2021.3,
windows-2022,intel-classic,2021.4,
windows-2022,intel-classic,2021.5,
windows-2022,intel-classic,2021.6,
windows-2022,intel-classic,2021.7.1,
windows-2022,intel-classic,2021.7,
windows-2022,intel-classic,2021.8,
windows-2022,intel-classic,2021.9,
windows-2022,intel,2021.1.2,
windows-2022,intel,2021.1,
windows-2022,intel,2021.2,
windows-2022,intel,2021.4,
windows-2022,intel,2022.0,
windows-2022,intel,2022.1,
windows-2022,intel,2022.2.1,
windows-2022,intel,2022.2,
windows-2022,intel,2023.0,
windows-2022,intel,2023.1,
windows-2022,intel,2023.2,
windows-2022,intel,2024.0,
windows-2022,intel,2024.1,
windows-2022,intel,2025.0,
windows-2022,lfortran,0.41.0,
windows-2022,lfortran,0.42.0,
windows-2022,lfortran,0.43.0,
windows-2022,lfortran,0.44.0,
windows-2022,lfortran,0.45.0,
windows-2025,gcc,12,
windows-2025,gcc,13,
windows-2025,gcc,14,
windows-2025,intel-classic,2021.1.2,
windows-2025,intel-classic,2021.1,
windows-2025,intel-classic,2021.10,
windows-2025,intel-classic,2021.11,
windows-2025,intel-classic,2021.12,
windows-2025,intel-classic,2021.2,
windows-2025,intel-classic,2021.3,
windows-2025,intel-classic,2021.4,
windows-2025,intel-classic,2021.5,
windows-2025,intel-classic,2021.6,
windows-2025,intel-classic,2021.7.1,
windows-2025,intel-classic,2021.7,
windows-2025,intel-classic,2021.8,
windows-2025,intel-classic,2021.9,
windows-2025,intel,2021.1.2,
windows-2025,intel,2021.1,
windows-2025,intel,2021.2,
windows-2025,intel,2021.4,
windows-2025,intel,2022.0,
windows-2025,intel,2022.1,
windows-2025,intel,2022.2.1,
windows-2025,intel,2022.2,
windows-2025,intel,2023.0,
windows-2025,intel,2023.1,
windows-2025,intel,2023.2,
windows-2025,intel,2024.0,
windows-2025,intel,2024.1,
windows-2025,intel,2025.0,
windows-2025,lfortran,0.41.0,
windows-2025,lfortran,0.42.0,
windows-2025,lfortran,0.43.0,
windows-2025,lfortran,0.44.0,
windows-2025,lfortran,0.45.0,
